שטח תפוס על ידי לוחות סולאריים (דונם),מספר מבנים,שטח גגות כולל (דונם),שטח פוטנציאל שנמצא מתאים לסולארי (דונם),שטח לא פנוי (דונם),הספק מותקן מוערך קיים (MW),energyPotentialMW1200+,אחוז מימוש,שטח שיפוט,סיווג שימוש
446,21520,11568,5394,379,63,770,7.5,ארצי,ציבורי
52,2057,1370,607,48,7,86,7.7,ארצי,ממשלתי
91,2510,1452,808,60,12,115,10.1,ארצי,תחבורה
108,2002,1727,785,96,15,111,11.9,ארצי,אקדמיה
113,8181,3257,1452,91,15,208,7.1,ארצי,שירותי דת
15,677,408,188,15,2,26,7.1,ארצי,חירום וביטחון
41,3759,2492,1180,42,5,168,3.3,ארצי,רפואה
1970,51199,24908,11402,1554,281,1629,14.6,ארצי,רשות מקומית
1478,38854,18000,8107,1162,210,1158,15.3,ארצי,מבנה חינוך
484,11534,6626,3148,388,69,449,13.2,ארצי,מבנה ציבור פרט לחינוך
4823,634279,172056,65058,4833,688,9294,6.9,ארצי,מגורים
4546,508117,124405,50669,2843,650,7239,8.2,ארצי,מגורים בנייה צמודת קרקע (עד 9 מטרים)
277,85830,28291,9436,899,39,1347,2.8,ארצי,מגורים בנייה נמוכה  (10-15 מטרים)
0,25445,12208,2981,682,0,426,0,ארצי,מגורים בניה גבוהה (16-27 מטרים)
0,14887,7151,1973,408,0,281,0,ארצי,מגורים בניה רב קומות (מעל 28 מטרים ומעלה)
4031,16609,24049,12757,3577,576,1822,23.9,ארצי,תעשייה
40,1497,735,431,30,6,61,8.5,ארצי,תשתיות ומתקנים הנדסיים
1796,41443,27766,12890,1755,256,1841,12.1,ארצי,"מסחר, משרדים ותיירות"
3360,25908,15886,7145,2698,480,1020,31.9,ארצי,חקלאות
284,35474,9873,4279,242,40,611,6.2,ארצי,אחר
